state_name,area_type,total_persons,male_persons,female_persons,total_literate,male_literate,female_literate,total_illiterate,male_illiterate,female_illiterate,literacy_rate
manipur,total,2855794,1438586,1417208,1908476,1039858,868618,947318,398728,548590,0.668282095977511
manipur,urban,834154,411702,422452,625617,329724,295893,208537,81978,126559,0.750001798229104
meghalaya,rural,2371439,1194260,1177179,1315154,675636,639518,1056285,518624,537661,0.5545805732300093
meghalaya,total,2966889,1491832,1475057,1785005,913879,871126,1181884,577953,603931,0.6016419893025995
meghalaya,urban,595450,297572,297878,469851,238243,231608,125599,59329,66270,0.7890687715173398
mizoram,rural,525435,269135,256300,363334,195400,167934,162101,73735,88366,0.6914918115466233
mizoram,total,1097206,555339,541867,848175,438529,409646,249031,116810,132221,0.7730316822912014
mizoram,urban,571771,286204,285567,484841,243129,241712,86930,43075,43855,0.847963607808021
nagaland,rural,1407536,725472,682064,896663,484021,412642,510873,241451,269422,0.6370444521490036
nagaland,total,1978502,1024649,953853,1342434,723957,618477,636068,300692,335376,0.6785103072930935
nagaland,urban,570966,299177,271789,445771,239936,205835,125195,59241,65954,0.7807312519484523
nct_of_delhi,rural,419042,226321,192721,296600,174327,122273,122442,51994,70448,0.7078049455663156
nct_of_delhi,total,16787941,8987326,7800615,12737767,7194856,5542911,4050174,1792470,2257704,0.7587450420513153
nct_of_delhi,urban,16368899,8761005,7607894,12441167,7020529,5420638,3927732,1740476,2187256,0.7600491028749093
odisha,rural,34970562,17586203,17384359,21377915,12154552,9223363,13592647,5431651,8160996,0.6113117369975353
odisha,total,41974218,21212136,20762082,26742595,15089681,11652914,15231623,6122455,9109168,0.6371195527692738
odisha,urban,7003656,3625933,3377723,5364680,2935129,2429551,1638976,690804,948172,0.7659827952714982
puducherry,rural,395200,194907,200293,280882,150490,130392,114318,44417,69901,0.7107338056680162
puducherry,total,1247953,612511,635442,957309,497378,459931,290644,115133,175511,0.7671034085418281
puducherry,urban,852753,417604,435149,676427,346888,329539,176326,70716,105610,0.7932273471919771
punjab,rural,17344192,9093476,8250716,10997657,6158807,4838850,6346535,2934669,3411866,0.6340829829374582
punjab,total,27743338,14639465,13103873,18707137,10436056,8271081,9036201,4203409,4832792,0.6742929419668247
punjab,urban,10399146,5545989,4853157,7709480,4277249,3432231,2689666,1268740,1420926,0.7413570306638642
rajasthan,rural,51500352,26641747,24858605,26471786,16904589,9567197,25028566,9737158,15291408,0.5140117488905707
rajasthan,total,68548437,35550997,32997440,38275282,23688412,14586870,30273155,11862585,18410570,0.558368413272501
rajasthan,urban,17048085,8909250,8138835,11803496,6783823,5019673,5244589,2125427,3119162,0.6923649195789439
sikkim,rural,456999,242797,214202,321930,184245,137685,135069,58552,76517,0.7044435545810822
sikkim,total,610577,323070,287507,444952,251269,193683,165625,71801,93824,0.728740191654779
sikkim,urban,153578,80273,73305,123022,67024,55998,30556,13249,17307,0.801039211345375
tamil_nadu,rural,37229590,18679065,18550525,24502195,13665839,10836356,12727395,5013226,7714169,0.6581376534095594
tamil_nadu,total,72147030,36137975,36009055,51837507,28040491,23797016,20309523,8097484,12212039,0.7184981419193556
tamil_nadu,urban,34917440,17458910,17458530,27335312,14374652,12960660,7582128,3084258,4497870,0.782855558712208
tripura,rural,2712464,1387173,1325291,1992773,1081503,911270,719691,305670,414021,0.7346726076364516
tripura,total,3673917,1874376,1799541,2804783,1501369,1303414,869134,373007,496127,0.7634312370148808
tripura,urban,961453,487203,474250,812010,419866,392144,149443,67337,82106,0.8445654649785272
uttar_pradesh,rural,155317278,80992995,74324283,85284680,51793688,33490992,70032598,29199307,40833291,0.5490997595257883
uttar_pradesh,total,199812341,104480510,95331831,114397555,68234964,46162591,85414786,36245546,49169240,0.572524972318902
uttar_pradesh,urban,44495063,23487515,21007548,29112875,16441276,12671599,15382188,7046239,8335949,0.6542945000437465
uttarakhand,rural,7036954,3519042,3517912,4614050,2596171,2017879,2422904,922871,1500033,0.655688526598298
uttarakhand,total,10086292,5137773,4948519,6880953,3863708,3017245,3205339,1274065,1931274,0.6822083873835896
uttarakhand,urban,3049338,1618731,1430607,2266903,1267537,999366,782435,351194,431241,0.7434082413953454
west_bengal,rural,62183113,31844945,30338168,39213779,21848197,17365582,22969334,9996748,12972586,0.6306178174129043
west_bengal,total,91276115,46809027,44467088,61538281,33818810,27719471,29737834,12990217,16747617,0.6741991702867721
west_bengal,urban,29093002,14964082,14128920,22324502,11970613,10353889,6768500,2993469,3775031,0.7673495502457945
