district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
153,total,all ages,4021243,2123187,1898056,1987199,886030,1101169,2034044,1237157,796887,0,0,0,True
153,rural,all ages,3560208,1880679,1679529,1813274,804527,1008747,1746934,1076152,670782,0,0,0,True
153,urban,all ages,461035,242508,218527,173925,81503,92422,287110,161005,126105,0,0,0,True
154,total,all ages,4483992,2375264,2108728,2200259,977562,1222697,2283733,1397702,886031,0,0,0,True
154,rural,all ages,3953208,2098123,1855085,2000690,883797,1116893,1952518,1214326,738192,0,0,0,True
154,urban,all ages,530784,277141,253643,199569,93765,105804,331215,183376,147839,0,0,0,True
155,total,all ages,4092845,2191442,1901403,1871244,816855,1054389,2221601,1374587,847014,0,0,0,True
155,rural,all ages,3551039,1906147,1644892,1667451,723867,943584,1883588,1182280,701308,0,0,0,True
155,urban,all ages,541806,285295,256511,203793,92988,110805,338013,192307,145706,0,0,0,True
156,total,all ages,3108367,1630087,1478280,1334783,577024,757759,1773584,1053063,720521,0,0,0,True
156,rural,all ages,2576721,1351897,1224824,1153603,493744,659859,1423118,858153,564965,0,0,0,True
156,urban,all ages,531646,278190,253456,181180,83280,97900,350466,194910,155556,0,0,0,True
157,total,all ages,4589838,2394476,2195362,1462578,652036,810542,3127260,1742440,1384820,0,0,0,True
157,rural,all ages,1550842,813752,737090,649985,280096,369889,900857,533656,367201,0,0,0,True
157,urban,all ages,3038996,1580724,1458272,812593,371940,440653,2226403,1208784,1017619,0,0,0,True
158,total,all ages,3405559,1752542,1653017,1439716,586577,853139,1965843,1165965,799878,0,0,0,True
158,rural,all ages,3097564,1592449,1505115,1347538,546060,801478,1750026,1046389,703637,0,0,0,True
158,urban,all ages,307995,160093,147902,92178,40517,51661,215817,119576,96241,0,0,0,True
159,total,all ages,1885204,1006240,878964,792527,351413,441114,1092677,654827,437850,0,0,0,True
159,rural,all ages,1469019,785301,683718,641744,280649,361095,827275,504652,322623,0,0,0,True
159,urban,all ages,416185,220939,195246,150783,70764,80019,265402,150175,115227,0,0,0,True
160,total,all ages,1656616,881776,774840,639529,278180,361349,1017087,603596,413491,0,0,0,True
160,rural,all ages,1375775,734245,641530,529282,227330,301952,846493,506915,339578,0,0,0,True
160,urban,all ages,280841,147531,133310,110247,50850,59397,170594,96681,73913,0,0,0,True
161,total,all ages,1581810,845856,735954,519807,222273,297534,1062003,623583,438420,0,0,0,True
161,rural,all ages,1215511,652740,562771,417308,175362,241946,798203,477378,320825,0,0,0,True
161,urban,all ages,366299,193116,173183,102499,46911,55588,263800,146205,117595,0,0,0,True
162,total,all ages,1379545,740040,639505,448709,193842,254867,930836,546198,384638,0,0,0,True
162,rural,all ages,1145323,616494,528829,389400,167057,222343,755923,449437,306486,0,0,0,True
162,urban,all ages,234222,123546,110676,59309,26785,32524,174913,96761,78152,0,0,0,True
163,total,all ages,1796184,963255,832929,625941,270291,355650,1170243,692964,477279,0,0,0,True
163,rural,all ages,1622761,871508,751253,573375,246357,327018,1049386,625151,424235,0,0,0,True
163,urban,all ages,173423,91747,81676,52566,23934,28632,120857,67813,53044,0,0,0,True
164,total,all ages,4581268,2459806,2121462,1338246,630627,707619,3243022,1829179,1413843,0,0,0,True
164,rural,all ages,1565623,837260,728363,555471,242893,312578,1010152,594367,415785,0,0,0,True
164,urban,all ages,3015645,1622546,1393099,782775,387734,395041,2232870,1234812,998058,0,0,0,True
165,total,all ages,1689974,906092,783882,614778,252662,362116,1075196,653430,421766,0,0,0,True
165,rural,all ages,1271074,683656,587418,481108,194581,286527,789966,489075,300891,0,0,0,True
165,urban,all ages,418900,222436,196464,133670,58081,75589,285230,164355,120875,0,0,0,True
166,total,all ages,1998603,1057436,941167,694090,273731,420359,1304513,783705,520808,0,0,0,True
166,rural,all ages,1165119,615629,549490,462126,176428,285698,702993,439201,263792,0,0,0,True
166,urban,all ages,833484,441807,391677,231964,97303,134661,601520,344504,257016,0,0,0,True
167,total,all ages,1221592,641011,580581,580401,243425,336976,641191,397586,243605,0,0,0,True
167,rural,all ages,1046214,549478,496736,528786,222086,306700,517428,327392,190036,0,0,0,True
167,urban,all ages,175378,91533,83845,51615,21339,30276,123763,70194,53569,0,0,0,True
