district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
518,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
518,urban,all ages,9356962,5031323,4325639,1781477,808294,973183,7575485,4223029,3352456,0,0,0,True
519,total,all ages,3085411,1684608,1400803,576389,273928,302461,2509022,1410680,1098342,0,0,0,True
519,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True
519,urban,all ages,3085411,1684608,1400803,576389,273928,302461,2509022,1410680,1098342,0,0,0,True
520,total,all ages,2634200,1344345,1289855,694206,284653,409553,1939994,1059692,880302,0,0,0,True
520,rural,all ages,1664005,836996,827009,501114,197295,303819,1162891,639701,523190,0,0,0,True
520,urban,all ages,970195,507349,462846,193092,87358,105734,777103,419991,357112,0,0,0,True
521,total,all ages,9429408,4924105,4505303,2257685,983895,1273790,7171723,3940210,3231513,0,0,0,True
521,rural,all ages,3678226,1903440,1774786,1056004,431249,624755,2622222,1472191,1150031,0,0,0,True
521,urban,all ages,5751182,3020665,2730517,1201681,552646,649035,4549501,2468019,2081482,0,0,0,True
522,total,all ages,4543159,2342825,2200334,1391269,569470,821799,3151890,1773355,1378535,0,0,0,True
522,rural,all ages,3630542,1872907,1757635,1185395,480016,705379,2445147,1392891,1052256,0,0,0,True
522,urban,all ages,912617,469918,442699,205874,89454,116420,706743,380464,326279,0,0,0,True
523,total,all ages,2585049,1349106,1235943,866542,361921,504621,1718507,987185,731322,0,0,0,True
523,rural,all ages,2070751,1082978,987773,735162,305141,430021,1335589,777837,557752,0,0,0,True
523,urban,all ages,514298,266128,248170,131380,56780,74600,382918,209348,173570,0,0,0,True
524,total,all ages,2454196,1273140,1181056,803524,340708,462816,1650672,932432,718240,0,0,0,True
524,rural,all ages,1829216,949707,879509,634371,266458,367913,1194845,683249,511596,0,0,0,True
524,urban,all ages,624980,323433,301547,169153,74250,94903,455827,249183,206644,0,0,0,True
525,total,all ages,1657576,861535,796041,519766,217231,302535,1137810,644304,493506,0,0,0,True
525,rural,all ages,1376519,716237,660282,450497,187494,263003,926022,528743,397279,0,0,0,True
525,urban,all ages,281057,145298,135759,69269,29737,39532,211788,115561,96227,0,0,0,True
526,total,all ages,4317756,2227852,2089904,1407080,576586,830494,2910676,1651266,1259410,0,0,0,True
526,rural,all ages,2918665,1518343,1400322,1035877,427258,608619,1882788,1091085,791703,0,0,0,True
526,urban,all ages,1399091,709509,689582,371203,149328,221875,1027888,560181,467707,0,0,0,True
527,total,all ages,3003741,1510842,1492899,778047,309808,468239,2225694,1201034,1024660,0,0,0,True
527,rural,all ages,2433363,1219749,1213614,662613,258950,403663,1770750,960799,809951,0,0,0,True
527,urban,all ages,570378,291093,279285,115434,50858,64576,454944,240235,214709,0,0,0,True
528,total,all ages,1615069,761121,853948,415677,142109,273568,1199392,619012,580380,0,0,0,True
528,rural,all ages,1351346,630213,721133,371989,123014,248975,979357,507199,472158,0,0,0,True
528,urban,all ages,263723,130908,132815,43688,19095,24593,220035,111813,108222,0,0,0,True
529,total,all ages,849651,417332,432319,183584,69043,114541,666067,348289,317778,0,0,0,True
529,rural,all ages,742645,363268,379377,166372,61157,105215,576273,302111,274162,0,0,0,True
529,urban,all ages,107006,54064,52942,17212,7886,9326,89794,46178,43616,0,0,0,True
530,total,all ages,3876001,1980658,1895343,1050156,420898,629258,2825845,1559760,1266085,0,0,0,True
530,rural,all ages,2645992,1348815,1297177,792123,309100,483023,1853869,1039715,814154,0,0,0,True
530,urban,all ages,1230009,631843,598166,258033,111798,146235,971976,520045,451931,0,0,0,True
531,total,all ages,2822143,1435728,1386415,772676,314178,458498,2049467,1121550,927917,0,0,0,True
531,rural,all ages,2102786,1071124,1031662,607692,243318,364374,1495094,827806,667288,0,0,0,True
531,urban,all ages,719357,364604,354753,164984,70860,94124,554373,293744,260629,0,0,0,True
