district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
0,total,all ages,243247,150301,92946,54841,25658,29183,188406,124643,63763,0,0,0,True
0,rural,all ages,60396,32395,28001,17307,6866,10441,43089,25529,17560,0,0,0,True
0,urban,all ages,182851,117906,64945,37534,18792,18742,145317,99114,46203,0,0,0,True
494,total,all ages,52074,25642,26432,14016,5315,8701,38058,20327,17731,0,0,0,True
494,rural,all ages,28083,14028,14055,9887,3765,6122,18196,10263,7933,0,0,0,True
494,urban,all ages,23991,11614,12377,4129,1550,2579,19862,10064,9798,0,0,0,True
495,total,all ages,191173,124659,66514,40825,20343,20482,150348,104316,46032,0,0,0,True
495,rural,all ages,32313,18367,13946,7420,3101,4319,24893,15266,9627,0,0,0,True
495,urban,all ages,158860,106292,52568,33405,17242,16163,125455,89050,36405,0,0,0,True
