district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
623,rural,all ages,1191451,601247,590204,403361,154788,248573,788090,446459,341631,0,0,0,True
623,urban,all ages,1846801,925228,921573,361461,147877,213584,1485340,777351,707989,0,0,0,True
624,total,all ages,1245899,625683,620216,375819,146280,229539,870080,479403,390677,0,0,0,True
624,rural,all ages,575418,290880,284538,198768,77310,121458,376650,213570,163080,0,0,0,True
624,urban,all ages,670481,334803,335678,177051,68970,108081,493430,265833,227597,0,0,0,True
625,total,all ages,1942288,967709,974579,543500,207334,336166,1398788,760375,638413,0,0,0,True
625,rural,all ages,962062,480360,481702,308843,116624,192219,653219,363736,289483,0,0,0,True
625,urban,all ages,980226,487349,492877,234657,90710,143947,745569,396639,348930,0,0,0,True
626,total,all ages,1353445,682658,670787,374499,146171,228328,978946,536487,442459,0,0,0,True
626,rural,all ages,942746,474508,468238,290827,111730,179097,651919,362778,289141,0,0,0,True
626,urban,all ages,410699,208150,202549,83672,34441,49231,327027,173709,153318,0,0,0,True
627,total,all ages,1750176,865021,885155,400479,161915,238564,1349697,703106,646591,0,0,0,True
627,rural,all ages,873374,430361,443013,230688,90622,140066,642686,339739,302947,0,0,0,True
627,urban,all ages,876802,434660,442142,169791,71293,98498,707011,363367,343644,0,0,0,True
628,total,all ages,3077233,1520912,1556321,803776,310202,493574,2273457,1210710,1062747,0,0,0,True
628,rural,all ages,1557004,768728,788276,456892,175749,281143,1100112,592979,507133,0,0,0,True
628,urban,all ages,1520229,752184,768045,346884,134453,212431,1173345,617731,555614,0,0,0,True
629,total,all ages,1870374,926345,944029,321636,145804,175832,1548738,780541,768197,0,0,0,True
629,rural,all ages,330572,164938,165634,61192,28506,32686,269380,136432,132948,0,0,0,True
629,urban,all ages,1539802,761407,778395,260444,117298,143146,1279358,644109,635249,0,0,0,True
630,total,all ages,1506843,774303,732540,589134,246704,342430,917709,527599,390110,0,0,0,True
630,rural,all ages,1245931,643215,602716,518146,217916,300230,727785,425299,302486,0,0,0,True
630,urban,all ages,260912,131088,129824,70988,28788,42200,189924,102300,87624,0,0,0,True
631,total,all ages,1879809,960232,919577,691851,293170,398681,1187958,667062,520896,0,0,0,True
631,rural,all ages,1451446,742444,709002,586187,247726,338461,865259,494718,370541,0,0,0,True
631,urban,all ages,428363,217788,210575,105664,45444,60220,322699,172344,150355,0,0,0,True
632,total,all ages,3458045,1729297,1728748,822138,334507,487631,2635907,1394790,1241117,0,0,0,True
632,rural,all ages,839105,419032,420073,284140,113314,170826,554965,305718,249247,0,0,0,True
632,urban,all ages,2618940,1310265,1308675,537998,221193,316805,2080942,1089072,991870,0,0,0,True
633,total,all ages,2479052,1246159,1232893,718486,286536,431950,1760566,959623,800943,0,0,0,True
633,rural,all ages,957941,479309,478632,346624,135875,210749,611317,343434,267883,0,0,0,True
633,urban,all ages,1521111,766850,754261,371862,150661,221201,1149249,616189,533060,0,0,0,True
