district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
223,urban,all ages,87159,46505,40654,31175,14652,16523,55984,31853,24131,0,0,0,True
224,total,all ages,3037766,1615663,1422103,1464700,677994,786706,1573066,937669,635397,0,0,0,True
224,rural,all ages,2435234,1295386,1139848,1251528,578596,672932,1183706,716790,466916,0,0,0,True
224,urban,all ages,602532,320277,282255,213172,99398,113774,389360,220879,168481,0,0,0,True
225,total,all ages,2034763,1067140,967623,1069442,476179,593263,965321,590961,374360,0,0,0,True
225,rural,all ages,1963450,1029097,934353,1041529,463165,578364,921921,565932,355989,0,0,0,True
225,urban,all ages,71313,38043,33270,27913,13014,14899,43400,25029,18371,0,0,0,True
226,total,all ages,1367765,729041,638724,565948,255300,310648,801817,473741,328076,0,0,0,True
226,rural,all ages,987645,527299,460346,450624,203058,247566,537021,324241,212780,0,0,0,True
226,urban,all ages,380120,201742,178378,115324,52242,63082,264796,149500,115296,0,0,0,True
227,total,all ages,1000912,526345,474567,493642,221163,272479,507270,305182,202088,0,0,0,True
227,rural,all ages,857901,450863,407038,435279,194718,240561,422622,256145,166477,0,0,0,True
227,urban,all ages,143011,75482,67529,58363,26445,31918,84648,49037,35611,0,0,0,True
228,total,all ages,636342,329743,306599,307666,133312,174354,328676,196431,132245,0,0,0,True
228,rural,all ages,527340,272360,254980,262845,113236,149609,264495,159124,105371,0,0,0,True
228,urban,all ages,109002,57383,51619,44821,20076,24745,64181,37307,26874,0,0,0,True
229,total,all ages,2877653,1497060,1380593,1357720,577502,780218,1519933,919558,600375,0,0,0,True
229,rural,all ages,2419759,1257728,1162031,1187568,501205,686363,1232191,756523,475668,0,0,0,True
229,urban,all ages,457894,239332,218562,170152,76297,93855,287742,163035,124707,0,0,0,True
230,total,all ages,5838465,3078512,2759953,2378786,1050465,1328321,3459679,2028047,1431632,0,0,0,True
230,rural,all ages,3323875,1746025,1577850,1633503,710552,922951,1690372,1035473,654899,0,0,0,True
230,urban,all ages,2514590,1332487,1182103,745283,339913,405370,1769307,992574,776733,0,0,0,True
231,total,all ages,2728407,1430380,1298027,1129256,456894,672362,1599151,973486,625665,0,0,0,True
231,rural,all ages,2338546,1224274,1114272,999483,399555,599928,1339063,824719,514344,0,0,0,True
231,urban,all ages,389861,206106,183755,129773,57339,72434,260088,148767,111321,0,0,0,True
232,total,all ages,1706352,887977,818375,716545,294433,422112,989807,593544,396263,0,0,0,True
232,rural,all ages,1541853,801086,740767,663673,271003,392670,878180,530083,348097,0,0,0,True
232,urban,all ages,164499,86891,77608,52872,23430,29442,111627,63461,48166,0,0,0,True
233,total,all ages,1626384,847006,779378,706108,297083,409025,920276,549923,370353,0,0,0,True
233,rural,all ages,1560813,812298,748515,686768,288573,398195,874045,523725,350320,0,0,0,True
233,urban,all ages,65571,34708,30863,19340,8510,10830,46231,26198,20033,0,0,0,True
234,total,all ages,2959918,1543546,1416372,1160086,481763,678323,1799832,1061783,738049,0,0,0,True
234,rural,all ages,2532153,1318276,1213877,1018106,419317,598789,1514047,898959,615088,0,0,0,True
234,urban,all ages,427765,225270,202495,141980,62446,79534,285785,162824,122961,0,0,0,True
235,total,all ages,2540073,1318684,1221389,1074071,449951,624120,1466002,868733,597269,0,0,0,True
235,rural,all ages,2303219,1194619,1108600,995181,415047,580134,1308038,779572,528466,0,0,0,True
235,urban,all ages,236854,124065,112789,78890,34904,43986,157964,89161,68803,0,0,0,True
236,total,all ages,4391418,2266566,2124852,2093805,897763,1196042,2297613,1368803,928810,0,0,0,True
236,rural,all ages,3809817,1960592,1849225,1913909,817175,1096734,1895908,1143417,752491,0,0,0,True
236,urban,all ages,581601,305974,275627,179896,80588,99308,401705,225386,176319,0,0,0,True
237,total,all ages,2219146,1144668,1074478,1128134,485194,642940,1091012,659474,431538,0,0,0,True
237,rural,all ages,2003567,1031656,971911,1049475,449576,599899,954092,582080,372012,0,0,0,True
237,urban,all ages,215579,113012,102567,78659,35618,43041,136920,77394,59526,0,0,0,True
238,total,all ages,1760405,916064,844341,901817,381679,520138,858588,534385,324203,0,0,0,True
238,rural,all ages,1615072,839776,775296,847761,358592,489169,767311,481184,286127,0,0,0,True
238,urban,all ages,145333,76288,69045,54056,23087,30969,91277,53201,38076,0,0,0,True
239,total,all ages,1125313,585582,539731,506432,211170,295262,618881,374412,244469,0,0,0,True
239,rural,all ages,990117,514154,475963,458676,190014,268662,531441,324140,207301,0,0,0,True
239,urban,all ages,135196,71428,63768,47756,21156,26600,87440,50272,37168,0,0,0,True
240,total,all ages,700843,363497,337346,314492,128218,186274,386351,235279,151072,0,0,0,True
240,rural,all ages,648994,336420,312574,294759,120153,174606,354235,216267,137968,0,0,0,True
240,urban,all ages,51849,27077,24772,19733,8065,11668,32116,19012,13104,0,0,0,True
