district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
392,total,all ages,610183,311312,298871,211762,80919,130843,398421,230393,168028,0,0,0,True
392,rural,all ages,560242,285634,274608,198744,75968,122776,361498,209666,151832,0,0,0,True
392,urban,all ages,49941,25678,24263,13018,4951,8067,36923,20727,16196,0,0,0,True
393,total,all ages,1648997,830097,818900,721737,284425,437312,927260,545672,381588,0,0,0,True
393,rural,all ages,1451616,728770,722846,670959,263888,407071,780657,464882,315775,0,0,0,True
393,urban,all ages,197381,101327,96054,50778,20537,30241,146603,80790,65813,0,0,0,True
394,total,all ages,610382,301962,308420,310999,121059,189940,299383,180903,118480,0,0,0,True
394,rural,all ages,576328,284792,291536,300464,116855,183609,275864,167937,107927,0,0,0,True
394,urban,all ages,34054,17170,16884,10535,4204,6331,23519,12966,10553,0,0,0,True
395,total,all ages,1576869,787101,789768,774833,302924,471909,802036,484177,317859,0,0,0,True
395,rural,all ages,1454882,724646,730236,741120,289316,451804,713762,435330,278432,0,0,0,True
395,urban,all ages,121987,62455,59532,33713,13608,20105,88274,48847,39427,0,0,0,True
396,total,all ages,967911,471960,495951,560176,230001,330175,407735,241959,165776,0,0,0,True
396,rural,all ages,820945,397774,423171,515187,212144,303043,305758,185630,120128,0,0,0,True
396,urban,all ages,146966,74186,72780,44989,17857,27132,101977,56329,45648,0,0,0,True
397,total,all ages,1220946,604812,616134,750567,317828,432739,470379,286984,183395,0,0,0,True
397,rural,all ages,1133321,560771,572550,722786,306550,416236,410535,254221,156314,0,0,0,True
397,urban,all ages,87625,44041,43584,27781,11278,16503,59844,32763,27081,0,0,0,True
398,total,all ages,1379647,678809,700838,811557,337966,473591,568090,340843,227247,0,0,0,True
398,rural,all ages,1153478,563771,589707,749053,312845,436208,404425,250926,153499,0,0,0,True
398,urban,all ages,226169,115038,111131,62504,25121,37383,163665,89917,73748,0,0,0,True
399,total,all ages,613192,303624,309568,368486,156623,211863,244706,147001,97705,0,0,0,True
399,rural,all ages,563664,277901,285763,350783,149428,201355,212881,128473,84408,0,0,0,True
399,urban,all ages,49528,25723,23805,17703,7195,10508,31825,18528,13297,0,0,0,True
